name;description;created_at;updated_at;deleted_at
GRUPO ROGAI MAT CONSTR        ;      ;25/1/24 19:47;        ;        
GRUPO RT MULTI SERVICE        ;      ;25/1/24 19:47;        ;        
GRUPO RT043 MINERACAO         ;      ;25/1/24 19:47;        ;        
GRUPO S & A TRANSPORTES       ;      ;25/1/24 19:47;        ;        
GRUPO SAFRA CONSTR            ;      ;25/1/24 19:47;        ;        
GRUPO SAFRA SUBLIME           ;      ;25/1/24 19:47;        ;        
GRUPO SAFRA VETERINARIOS      ;      ;25/1/24 19:47;        ;        
GRUPO SAFRAS ARMAZENS         ;      ;25/1/24 19:47;        ;        
GRUPO SAGA                    ;      ;25/1/24 19:47;        ;        
GRUPO SAINT GOBAIN            ;      ;25/1/24 19:47;        ;        
GRUPO SANDENE                 ;      ;25/1/24 19:47;        ;        
GRUPO SBAMTUBOS               ;      ;25/1/24 19:47;        ;        
GRUPO SEA TRANSPORTES         ;      ;25/1/24 19:47;        ;        
GRUPO SEARA                   ;      ;25/1/24 19:47;        ;        
GRUPO SEBASTIAO FERNANDES     ;      ;25/1/24 19:47;        ;        
GRUPO SENDAS                  ;      ;25/1/24 19:47;        ;        
GRUPO SEQTRA ENGENHARIA       ;      ;25/1/24 19:47;        ;        
GRUPO SERVICO AUT.AGUA ESG. BE;      ;25/1/24 19:47;        ;        
GRUPO SHOPPING DA CONSTRUCAO  ;      ;25/1/24 19:47;        ;        
GRUPO SIDERQUIMICA            ;      ;25/1/24 19:47;        ;        
GRUPO SILLAW                  ;      ;25/1/24 19:47;        ;        
GRUPO SILVANA MENDES DOS SANTO;      ;25/1/24 19:47;        ;        
GRUPO SILVANO                 ;      ;25/1/24 19:47;        ;        
GRUPO SOLAR COM MAT DE CONST  ;      ;25/1/24 19:47;        ;        
GRUPO SOLAR COMERCIO DE MADEIR;      ;25/1/24 19:47;        ;        
GRUPO SOLISTEEL SOLUCOES      ;      ;25/1/24 19:47;        ;        
GRUPO SOLVOCON CONSULTORIA    ;      ;25/1/24 19:47;        ;        
GRUPO SOMA LOGISTICA          ;      ;25/1/24 19:47;        ;        
GRUPO SONDA SUPERMERCADOS     ;      ;25/1/24 19:47;        ;        
GRUPO SONEGO CONSTRUCOES      ;      ;25/1/24 19:47;        ;        
GRUPO SOUSA E CRUZ            ;      ;25/1/24 19:47;        ;        
GRUPO SPALL INDUSTRIA METALURG;      ;25/1/24 19:47;        ;        
GRUPO SR CONTRUCOES E SERVICOS;      ;25/1/24 19:47;        ;        
GRUPO STE TRANSPORTES         ;      ;25/1/24 19:47;        ;        
GRUPO SUDESTE PRE FABRICADOS  ;      ;25/1/24 19:47;        ;        
GRUPO SUELITA LIMA DE MIRANDA ;      ;25/1/24 19:47;        ;        
GRUPO SUL MINEIRA             ;      ;25/1/24 19:47;        ;        
GRUPO SUNNY                   ;      ;25/1/24 19:47;        ;        
GRUPO SUNPRIME                ;      ;25/1/24 19:47;        ;        
GRUPO SUPER MERCADOS MADRID   ;      ;25/1/24 19:47;        ;        
GRUPO SUPERMERCADO BARATAO    ;      ;25/1/24 19:47;        ;        
GRUPO SUPERMERCADOS MUNDIAL   ;      ;25/1/24 19:47;        ;        
GRUPO SUPERMERCADOS YAYA      ;      ;25/1/24 19:47;        ;        
GRUPO SUZANO                  ;      ;25/1/24 19:47;        ;        
GRUPO SYLVAMO                 ;      ;25/1/24 19:47;        ;        
GRUPO TANGARA                 ;      ;25/1/24 19:47;        ;        
GRUPO TAS ATACADISTA DE ALIMEN;      ;25/1/24 19:47;        ;        
GRUPO TECNOVA                 ;      ;25/1/24 19:47;        ;        
GRUPO TECNOVA ENGENHARIA      ;      ;25/1/24 19:47;        ;        
GRUPO TECNOVA ENGENHARIA E EMP;      ;25/1/24 19:47;        ;        
GRUPO TECNOVA RENOVAVEIS      ;      ;25/1/24 19:47;        ;        
GRUPO TEKSID IRON             ;      ;25/1/24 19:47;        ;        
GRUPO TEM TUDO                ;      ;25/1/24 19:47;        ;        
GRUPO TENDA                   ;      ;25/1/24 19:47;        ;        
GRUPO TEQUALY TECNICA INDUSTRI;      ;25/1/24 19:47;        ;        
GRUPO TERLOC TERMINAL LOGISTIC;      ;25/1/24 19:47;        ;        
GRUPO TERRA MINAS TERRAPLENAGE;      ;25/1/24 19:47;        ;        
GRUPO TEXSA DO BRASIL         ;      ;25/1/24 19:47;        ;        
GRUPO TG-TRANSPORTE E COMERCIO;      ;25/1/24 19:47;        ;        
GRUPO THI BOBINAS E ETIQUETAS ;      ;25/1/24 19:47;        ;        
GRUPO THV TRANSPORTES         ;      ;25/1/24 19:47;        ;        
GRUPO TIME SOLUCOES TECNOLOGIC;      ;25/1/24 19:47;        ;        
GRUPO TINTAS HIDRACOR         ;      ;25/1/24 19:47;        ;        
GRUPO TINTAS IQUINE           ;      ;25/1/24 19:47;        ;        
GRUPO TONINHO ACAB MANTENA    ;      ;25/1/24 19:47;        ;        
GRUPO TORA TRANSPORTES        ;      ;25/1/24 19:47;        ;        
GRUPO TORRETELLI IND E COM DE ;      ;25/1/24 19:47;        ;        
GRUPO TOTAL TELAS INDUSTRIA   ;      ;25/1/24 19:47;        ;        
GRUPO TRANSAGIL               ;      ;25/1/24 19:47;        ;        
GRUPO TRANSAVANTE TRANSPORTADO;      ;25/1/24 19:47;        ;        
GRUPO TRANSBIA                ;      ;25/1/24 19:47;        ;        
GRUPO TRANSCAIPORA            ;      ;25/1/24 19:47;        ;        
GRUPO TRANSCAPUXIN            ;      ;25/1/24 19:47;        ;        
GRUPO TRANSCATARINA TRANSPORTE;      ;25/1/24 19:47;        ;        
GRUPO TRANSEXCEDENTE          ;      ;25/1/24 19:47;        ;        
GRUPO TRANSFEC SERVICOS DE TRA;      ;25/1/24 19:47;        ;        
GRUPO TRANSFUTURO             ;      ;25/1/24 19:47;        ;        
GRUPO TRANS-M TRANSPORTES     ;      ;25/1/24 19:47;        ;        
GRUPO TRANSMIN TRANSPORTES LTD;      ;25/1/24 19:47;        ;        
GRUPO TRANSNIEL TRANSPORTES LT;      ;25/1/24 19:47;        ;        
GRUPO TRANSNORDESTE TRANSPORTA;      ;25/1/24 19:47;        ;        
GRUPO TRANSPAJOS              ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPIAU TRANSPORTES   ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPINHEIRO TRANSPORTE;      ;25/1/24 19:47;        ;        
GRUPO TRANSPIRES TRANSPORTE   ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTADORA 7 FLEXAS ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTADORA APARECIDA;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTADORA BRUNATO  ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTADORA CURCIO   ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTADORA FALCAO   ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTADORA FIGUEIRED;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTADORA JOLIVAN  ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTADORA REAL     ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTE RODOVIARIO 15;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES ALMEIDA SIMA;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES BAGGETO     ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES BEBBER      ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES DELLA VOLPE ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES HENKES      ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES PESADOS MINA;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES SAO GERALDO ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES SOUSA MINAS ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES SPOLIER     ;      ;25/1/24 19:47;        ;        
GRUPO TRANSPORTES TESBA       ;      ;25/1/24 19:47;        ;        
GRUPO TRANSTICO TRANSPORTES   ;      ;25/1/24 19:47;        ;        
GRUPO TRANSVIAS CONSTRUCOES   ;      ;25/1/24 19:47;        ;        
GRUPO TRANSVIAS TRANSPORTE    ;      ;25/1/24 19:47;        ;        
GRUPO TRAZ RAPIDO             ;      ;25/1/24 19:47;        ;        
GRUPO TREFILACAO DE ACOS      ;      ;25/1/24 19:47;        ;        
GRUPO TRENA - TERRAPLENAGEM   ;      ;25/1/24 19:47;        ;        
GRUPO TTR - TUCANAO TRANSPORTE;      ;25/1/24 19:47;        ;        
GRUPO TUBERFIL                ;      ;25/1/24 19:47;        ;        
GRUPO U.S.J. - ACUCAR E ALCOOL;      ;25/1/24 19:47;        ;        
GRUPO ULTRACOMERCIAL          ;      ;25/1/24 19:47;        ;        
GRUPO UNITRADING LOGISTICA    ;      ;25/1/24 19:47;        ;        
GRUPO BOSTIK                  ;      ;25/1/24 19:47;        ;        
GRUPO VALGROUP                ;      ;25/1/24 19:47;        ;        
GRUPO VALID SOLUCOES          ;      ;25/1/24 19:47;        ;        
GRUPO VB ALIMENTOS            ;      ;25/1/24 19:47;        ;        
GRUPO VENTO SUL               ;      ;25/1/24 19:47;        ;        
